2019-06-20 14:00:45.798 [http-nio-80-exec-9] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:00:45.799 [http-nio-80-exec-9] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:00:45.799 [http-nio-80-exec-9] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:00:47.087 [http-nio-80-exec-10] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:02:33.078 [http-nio-80-exec-1] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:02:53.044 [http-nio-80-exec-6] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:02:53.046 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:02:53.046 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:02:53.046 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:02:53.046 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:02:53.047 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:02:53.047 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:02:53.047 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:02:53.047 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:02:53.047 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:02:54.382 [http-nio-80-exec-7] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:07:37.632 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Starting Xu7xWebApplication on 29PF5V6RCXNKKYB with PID 11104 (D:\xucode\my\xu7x\xu7x-web\target\classes started by Administrator in D:\xucode\my\xu7x\xu7x-web)
2019-06-20 14:07:37.632 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - The following profiles are active: linux
2019-06-20 14:07:39.319 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Started Xu7xWebApplication in 1.75 seconds (JVM running for 476.117)
2019-06-20 14:27:44.722 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Starting Xu7xWebApplication on 29PF5V6RCXNKKYB with PID 11104 (D:\xucode\my\xu7x\xu7x-web\target\classes started by Administrator in D:\xucode\my\xu7x\xu7x-web)
2019-06-20 14:27:44.722 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - The following profiles are active: linux
2019-06-20 14:27:48.503 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Started Xu7xWebApplication in 3.859 seconds (JVM running for 1685.305)
2019-06-20 14:33:12.857 [http-nio-80-exec-5] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:33:16.897 [http-nio-80-exec-6] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:33:16.933 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:33:16.936 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:33:16.936 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:33:16.937 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:33:16.937 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:33:16.937 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:33:16.937 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:33:16.937 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:33:16.937 [http-nio-80-exec-6] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:33:32.729 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Starting Xu7xWebApplication on 29PF5V6RCXNKKYB with PID 3876 (D:\xucode\my\xu7x\xu7x-web\target\classes started by Administrator in D:\xucode\my\xu7x\xu7x-web)
2019-06-20 14:33:32.729 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - The following profiles are active: linux
2019-06-20 14:33:38.009 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Started Xu7xWebApplication in 6.046 seconds (JVM running for 8.236)
2019-06-20 14:33:46.926 [http-nio-80-exec-1] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
